Phase 1,Phase 2,Phase 3,Phase 4,Phase 5,Phase 6,Phase 7,Phase 8,Phase 9,Phase 10,Phase 11,Phase 12,Phase 13,Phase 14,Phase 15,Phase 16
180.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,5.0,5.0
180.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,5.0,5.0
"[{'well': 'A1', 'labware': 'Reagent Plate', 'slot': 5}, {'well': 'A2', 'labware': 'Reagent Plate', 'slot': 5}, {'well': 'A3', 'labware': 'Reagent Plate', 'slot': 5}, {'well': 'A4', 'labware': 'Reagent Plate', 'slot': 5}, {'well': 'A5', 'labware': 'Reagent Plate', 'slot': 5}, {'well': 'A6', 'labware': 'Reagent Plate', 'slot': 5}, {'well': 'A7', 'labware': 'Reagent Plate', 'slot': 5}, {'well': 'A8', 'labware': 'Reagent Plate', 'slot': 5}, {'well': 'A8', 'labware': 'Reagent Plate', 'slot': 5}]","[{'well': 'A1', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A1', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A1', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A1', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A1', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A1', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A1', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A1', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A1', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A1', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A1', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A1', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A1', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A1', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A1', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A1', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A1', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A1', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A1', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A1', 'labware': 'Prep Plate', 'slot': 3}]","[{'well': 'A1', 'labware': 'Prep Plate', 'slot': 3}]","[{'well': 'A2', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A2', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A2', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A2', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A2', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A2', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A2', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A2', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A2', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A2', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A2', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A2', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A2', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A2', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A2', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A2', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A2', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A2', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A2', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A2', 'labware': 'Prep Plate', 'slot': 3}]","[{'well': 'A2', 'labware': 'Prep Plate', 'slot': 3}]","[{'well': 'A3', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A3', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A3', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A3', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A3', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A3', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A3', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A3', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A3', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A3', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A3', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A3', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A3', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A3', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A3', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A3', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A3', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A3', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A3', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A3', 'labware': 'Prep Plate', 'slot': 3}]","[{'well': 'A3', 'labware': 'Prep Plate', 'slot': 3}]","[{'well': 'A4', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A4', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A4', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A4', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A4', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A4', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A4', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A4', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A4', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A4', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A4', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A4', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A4', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A4', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A4', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A4', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A4', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A4', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A4', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A4', 'labware': 'Prep Plate', 'slot': 3}]","[{'well': 'A4', 'labware': 'Prep Plate', 'slot': 3}]","[{'well': 'A5', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A5', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A5', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A5', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A5', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A5', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A5', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A5', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A5', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A5', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A5', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A5', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A5', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A5', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A5', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A5', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A5', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A5', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A5', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A5', 'labware': 'Prep Plate', 'slot': 3}]","[{'well': 'A5', 'labware': 'Prep Plate', 'slot': 3}]","[{'well': 'A6', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A6', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A6', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A6', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A6', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A6', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A6', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A6', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A6', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A6', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A6', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A6', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A6', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A6', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A6', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A6', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A6', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A6', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A6', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A6', 'labware': 'Prep Plate', 'slot': 3}]","[{'well': 'A6', 'labware': 'Prep Plate', 'slot': 3}]","[{'well': 'A7', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A7', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A7', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A7', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A7', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A7', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A7', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A7', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A7', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A7', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A7', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A7', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A7', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A7', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A7', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A7', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A7', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A7', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A7', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A7', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A8', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A8', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A8', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A8', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A8', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A8', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A8', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A8', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A8', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A8', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A8', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A8', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A8', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A8', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A8', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A8', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A8', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A8', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A8', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A8', 'labware': 'Prep Plate', 'slot': 3}]","[{'well': 'A6', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A7', 'labware': 'Prep Plate', 'slot': 3}, {'well': 'A8', 'labware': 'Prep Plate', 'slot': 3}]","[{'well': 'A12', 'labware': 'Reagent Plate', 'slot': 5}, {'well': 'A12', 'labware': 'Reagent Plate', 'slot': 5}]"
